strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,category,combined
sputnik,happy,uplifted,relaxed,energetic,focused,depression,stress,pain,musclespasms,headaches,drymouth,dryeyes,anxious,dizzy,headache,flowery,sweet,tea,sativa,"happy, uplifted, relaxed, energetic, focused, depression, stress, pain, musclespasms, headaches, drymouth, dryeyes, anxious, dizzy, headache, flowery, sweet, tea, sativa"
spyder mon,creative,focused,happy,uplifted,energetic,depression,headaches,insomnia,musclespasms,pain,none,none,none,none,none,citrus,earthy,flowery,hybrid,"creative, focused, happy, uplifted, energetic, depression, headaches, insomnia, musclespasms, pain, none, none, none, none, none, citrus, earthy, flowery, hybrid"
star 47,happy,euphoric,giggly,relaxed,sleepy,depression,insomnia,lackofappetite,nausea,stress,dizzy,none,none,none,none,earthy,berry,citrus,hybrid,"happy, euphoric, giggly, relaxed, sleepy, depression, insomnia, lackofappetite, nausea, stress, dizzy, none, none, none, none, earthy, berry, citrus, hybrid"
star berry indica,relaxed,happy,uplifted,euphoric,energetic,stress,pain,insomnia,fatigue,inflammation,drymouth,dryeyes,paranoid,none,none,berry,citrus,sweet,indica,"relaxed, happy, uplifted, euphoric, energetic, stress, pain, insomnia, fatigue, inflammation, drymouth, dryeyes, paranoid, none, none, berry, citrus, sweet, indica"
star killer,relaxed,happy,euphoric,sleepy,uplifted,stress,insomnia,depression,pain,inflammation,drymouth,dryeyes,dizzy,anxious,paranoid,earthy,citrus,sweet,indica,"relaxed, happy, euphoric, sleepy, uplifted, stress, insomnia, depression, pain, inflammation, drymouth, dryeyes, dizzy, anxious, paranoid, earthy, citrus, sweet, indica"
star master kush,relaxed,hungry,happy,tingly,euphoric,stress,depression,insomnia,pain,lackofappetite,drymouth,dryeyes,none,none,none,pungent,earthy,citrus,indica,"relaxed, hungry, happy, tingly, euphoric, stress, depression, insomnia, pain, lackofappetite, drymouth, dryeyes, none, none, none, pungent, earthy, citrus, indica"
star pupil,relaxed,focused,hungry,uplifted,euphoric,stress,depression,pain,insomnia,headaches,drymouth,none,none,none,none,skunk,lime,pine,hybrid,"relaxed, focused, hungry, uplifted, euphoric, stress, depression, pain, insomnia, headaches, drymouth, none, none, none, none, skunk, lime, pine, hybrid"
star tonic,focused,happy,relaxed,creative,sleepy,stress,pain,depression,inflammation,headaches,dryeyes,drymouth,none,none,none,woody,earthy,lavender,hybrid,"focused, happy, relaxed, creative, sleepy, stress, pain, depression, inflammation, headaches, dryeyes, drymouth, none, none, none, woody, earthy, lavender, hybrid"
starbud,relaxed,happy,euphoric,sleepy,uplifted,insomnia,stress,depression,fatigue,pain,drymouth,dryeyes,anxious,dizzy,headache,menthol,earthy,chemical,indica,"relaxed, happy, euphoric, sleepy, uplifted, insomnia, stress, depression, fatigue, pain, drymouth, dryeyes, anxious, dizzy, headache, menthol, earthy, chemical, indica"
stardawg,happy,relaxed,euphoric,uplifted,creative,stress,depression,pain,lackofappetite,headaches,drymouth,dryeyes,anxious,dizzy,paranoid,earthy,diesel,pine,hybrid,"happy, relaxed, euphoric, uplifted, creative, stress, depression, pain, lackofappetite, headaches, drymouth, dryeyes, anxious, dizzy, paranoid, earthy, diesel, pine, hybrid"
stardawg 91,relaxed,sleepy,uplifted,euphoric,aroused,depression,insomnia,stress,none,none,none,none,none,none,none,diesel,chemical,chestnut,indica,"relaxed, sleepy, uplifted, euphoric, aroused, depression, insomnia, stress, none, none, none, none, none, none, none, diesel, chemical, chestnut, indica"
stardawg guava,happy,relaxed,euphoric,uplifted,creative,stress,depression,pain,insomnia,headaches,drymouth,dryeyes,anxious,paranoid,dizzy,tropical,flowery,pungent,sativa,"happy, relaxed, euphoric, uplifted, creative, stress, depression, pain, insomnia, headaches, drymouth, dryeyes, anxious, paranoid, dizzy, tropical, flowery, pungent, sativa"
starfighter,happy,euphoric,giggly,uplifted,hungry,stress,pain,insomnia,depression,headaches,drymouth,anxious,paranoid,dizzy,dryeyes,sweet,citrus,flowery,hybrid,"happy, euphoric, giggly, uplifted, hungry, stress, pain, insomnia, depression, headaches, drymouth, anxious, paranoid, dizzy, dryeyes, sweet, citrus, flowery, hybrid"
starman,aroused,creative,energetic,euphoric,focused,depression,none,none,none,none,drymouth,none,none,none,none,spicy/herbal,none,none,hybrid,"aroused, creative, energetic, euphoric, focused, depression, none, none, none, none, drymouth, none, none, none, none, spicy/herbal, none, none, hybrid"
starry night,uplifted,euphoric,focused,energetic,relaxed,depression,stress,lackofappetite,pain,fatigue,drymouth,dryeyes,none,none,none,tropical,pungent,cheese,hybrid,"uplifted, euphoric, focused, energetic, relaxed, depression, stress, lackofappetite, pain, fatigue, drymouth, dryeyes, none, none, none, tropical, pungent, cheese, hybrid"
stella blue,happy,uplifted,energetic,relaxed,hungry,fatigue,stress,pain,musclespasms,depression,headache,drymouth,dryeyes,paranoid,none,blueberry,pungent,pine,sativa,"happy, uplifted, energetic, relaxed, hungry, fatigue, stress, pain, musclespasms, depression, headache, drymouth, dryeyes, paranoid, none, blueberry, pungent, pine, sativa"
stephen hawking kush,relaxed,happy,sleepy,euphoric,focused,pain,insomnia,stress,fatigue,inflammation,drymouth,dryeyes,dizzy,headache,paranoid,earthy,woody,mint,indica,"relaxed, happy, sleepy, euphoric, focused, pain, insomnia, stress, fatigue, inflammation, drymouth, dryeyes, dizzy, headache, paranoid, earthy, woody, mint, indica"
stevie wonder,uplifted,focused,relaxed,hungry,sleepy,pain,depression,stress,lackofappetite,insomnia,drymouth,dryeyes,headache,none,none,earthy,pine,flowery,hybrid,"uplifted, focused, relaxed, hungry, sleepy, pain, depression, stress, lackofappetite, insomnia, drymouth, dryeyes, headache, none, none, earthy, pine, flowery, hybrid"
stinky pete,giggly,happy,relaxed,sleepy,tingly,pain,depression,headaches,insomnia,nausea,drymouth,anxious,none,none,none,earthy,pungent,woody,hybrid,"giggly, happy, relaxed, sleepy, tingly, pain, depression, headaches, insomnia, nausea, drymouth, anxious, none, none, none, earthy, pungent, woody, hybrid"
stoopid fruits,creative,energetic,euphoric,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,hybrid,"creative, energetic, euphoric, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, hybrid"
straight as haze,euphoric,happy,creative,uplifted,energetic,stress,depression,headaches,cramps,pain,drymouth,headache,paranoid,none,none,sweet,pungent,citrus,sativa,"euphoric, happy, creative, uplifted, energetic, stress, depression, headaches, cramps, pain, drymouth, headache, paranoid, none, none, sweet, pungent, citrus, sativa"
strawberry,happy,uplifted,creative,energetic,relaxed,pain,depression,stress,cramps,musclespasms,dryeyes,drymouth,dizzy,headache,paranoid,strawberry,berry,sweet,sativa,"happy, uplifted, creative, energetic, relaxed, pain, depression, stress, cramps, musclespasms, dryeyes, drymouth, dizzy, headache, paranoid, strawberry, berry, sweet, sativa"
strawberry alien kush,relaxed,focused,none,none,none,depression,insomnia,stress,none,none,none,none,none,none,none,strawberry,citrus,earthy,hybrid,"relaxed, focused, none, none, none, depression, insomnia, stress, none, none, none, none, none, none, none, strawberry, citrus, earthy, hybrid"
strawberry amnesia,relaxed,giggly,happy,aroused,euphoric,stress,depression,headaches,insomnia,fatigue,drymouth,dryeyes,dizzy,anxious,headache,strawberry,flowery,sweet,sativa,"relaxed, giggly, happy, aroused, euphoric, stress, depression, headaches, insomnia, fatigue, drymouth, dryeyes, dizzy, anxious, headache, strawberry, flowery, sweet, sativa"
strawberry banana,relaxed,happy,euphoric,uplifted,sleepy,stress,depression,pain,insomnia,headaches,drymouth,dryeyes,anxious,dizzy,paranoid,strawberry,sweet,berry,hybrid,"relaxed, happy, euphoric, uplifted, sleepy, stress, depression, pain, insomnia, headaches, drymouth, dryeyes, anxious, dizzy, paranoid, strawberry, sweet, berry, hybrid"
strawberry blonde,energetic,focused,uplifted,euphoric,happy,stress,depression,fatigue,pain,lackofappetite,drymouth,none,none,none,none,lemon,flowery,strawberry,sativa,"energetic, focused, uplifted, euphoric, happy, stress, depression, fatigue, pain, lackofappetite, drymouth, none, none, none, none, lemon, flowery, strawberry, sativa"
strawberry blondie,euphoric,relaxed,uplifted,happy,energetic,stress,inflammation,lackofappetite,insomnia,pain,anxious,dryeyes,paranoid,drymouth,none,strawberry,sweet,tropical,hybrid,"euphoric, relaxed, uplifted, happy, energetic, stress, inflammation, lackofappetite, insomnia, pain, anxious, dryeyes, paranoid, drymouth, none, strawberry, sweet, tropical, hybrid"
strawberry blue,happy,energetic,uplifted,relaxed,euphoric,stress,depression,pain,nausea,musclespasms,drymouth,dryeyes,dizzy,headache,none,berry,sweet,tropical,sativa,"happy, energetic, uplifted, relaxed, euphoric, stress, depression, pain, nausea, musclespasms, drymouth, dryeyes, dizzy, headache, none, berry, sweet, tropical, sativa"
strawberry cheesecake,relaxed,happy,euphoric,uplifted,sleepy,stress,pain,depression,lackofappetite,insomnia,drymouth,dryeyes,paranoid,headache,dizzy,strawberry,sweet,cheese,indica,"relaxed, happy, euphoric, uplifted, sleepy, stress, pain, depression, lackofappetite, insomnia, drymouth, dryeyes, paranoid, headache, dizzy, strawberry, sweet, cheese, indica"
strawberry cough,happy,uplifted,euphoric,energetic,relaxed,stress,depression,pain,fatigue,lackofappetite,drymouth,dryeyes,dizzy,paranoid,anxious,strawberry,sweet,berry,sativa,"happy, uplifted, euphoric, energetic, relaxed, stress, depression, pain, fatigue, lackofappetite, drymouth, dryeyes, dizzy, paranoid, anxious, strawberry, sweet, berry, sativa"
strawberry diesel,happy,relaxed,euphoric,uplifted,energetic,depression,stress,pain,insomnia,lackofappetite,drymouth,dizzy,dryeyes,paranoid,headache,diesel,strawberry,sweet,hybrid,"happy, relaxed, euphoric, uplifted, energetic, depression, stress, pain, insomnia, lackofappetite, drymouth, dizzy, dryeyes, paranoid, headache, diesel, strawberry, sweet, hybrid"
strawberry dream,hungry,happy,euphoric,relaxed,uplifted,stress,depression,nausea,inflammation,fatigue,drymouth,dryeyes,dizzy,anxious,paranoid,sweet,strawberry,berry,hybrid,"hungry, happy, euphoric, relaxed, uplifted, stress, depression, nausea, inflammation, fatigue, drymouth, dryeyes, dizzy, anxious, paranoid, sweet, strawberry, berry, hybrid"
strawberry durban diesel,focused,euphoric,uplifted,happy,hungry,depression,stress,fatigue,none,none,none,none,none,none,none,strawberry,diesel,sweet,sativa,"focused, euphoric, uplifted, happy, hungry, depression, stress, fatigue, none, none, none, none, none, none, none, strawberry, diesel, sweet, sativa"
strawberry fields,relaxed,happy,euphoric,hungry,sleepy,insomnia,stress,headaches,pain,lackofappetite,paranoid,drymouth,dryeyes,anxious,headache,strawberry,sweet,berry,indica,"relaxed, happy, euphoric, hungry, sleepy, insomnia, stress, headaches, pain, lackofappetite, paranoid, drymouth, dryeyes, anxious, headache, strawberry, sweet, berry, indica"
strawberry frost,hungry,uplifted,euphoric,tingly,relaxed,stress,depression,lackofappetite,pain,fatigue,drymouth,headache,none,none,none,sweet,strawberry,vanilla,indica,"hungry, uplifted, euphoric, tingly, relaxed, stress, depression, lackofappetite, pain, fatigue, drymouth, headache, none, none, none, sweet, strawberry, vanilla, indica"
strawberry ice,happy,talkative,focused,uplifted,euphoric,stress,lackofappetite,fatigue,pain,depression,drymouth,dryeyes,paranoid,dizzy,anxious,strawberry,sweet,earthy,sativa,"happy, talkative, focused, uplifted, euphoric, stress, lackofappetite, fatigue, pain, depression, drymouth, dryeyes, paranoid, dizzy, anxious, strawberry, sweet, earthy, sativa"
strawberry kush,happy,relaxed,uplifted,euphoric,sleepy,stress,depression,lackofappetite,inflammation,pain,drymouth,dryeyes,paranoid,anxious,dizzy,strawberry,sweet,earthy,hybrid,"happy, relaxed, uplifted, euphoric, sleepy, stress, depression, lackofappetite, inflammation, pain, drymouth, dryeyes, paranoid, anxious, dizzy, strawberry, sweet, earthy, hybrid"
strawberry lemonade,relaxed,uplifted,euphoric,happy,focused,stress,depression,pain,fatigue,headaches,drymouth,dryeyes,anxious,dizzy,paranoid,lemon,strawberry,rose,sativa,"relaxed, uplifted, euphoric, happy, focused, stress, depression, pain, fatigue, headaches, drymouth, dryeyes, anxious, dizzy, paranoid, lemon, strawberry, rose, sativa"
strawberry milkshake,relaxed,happy,uplifted,aroused,tingly,stress,depression,headaches,insomnia,pain,headache,dryeyes,none,none,none,strawberry,sweet,berry,hybrid,"relaxed, happy, uplifted, aroused, tingly, stress, depression, headaches, insomnia, pain, headache, dryeyes, none, none, none, strawberry, sweet, berry, hybrid"
strawberry og,happy,euphoric,hungry,relaxed,giggly,stress,inflammation,eyepressure,cramps,depression,drymouth,dizzy,dryeyes,anxious,paranoid,strawberry,diesel,flowery,hybrid,"happy, euphoric, hungry, relaxed, giggly, stress, inflammation, eyepressure, cramps, depression, drymouth, dizzy, dryeyes, anxious, paranoid, strawberry, diesel, flowery, hybrid"
strawberry satori,uplifted,creative,relaxed,happy,focused,stress,depression,fatigue,pain,insomnia,paranoid,anxious,drymouth,none,none,strawberry,sweet,grape,sativa,"uplifted, creative, relaxed, happy, focused, stress, depression, fatigue, pain, insomnia, paranoid, anxious, drymouth, none, none, strawberry, sweet, grape, sativa"
strawberry shortcake,relaxed,creative,happy,euphoric,focused,insomnia,lackofappetite,pain,stress,nausea,dryeyes,drymouth,anxious,none,none,strawberry,sweet,flowery,indica,"relaxed, creative, happy, euphoric, focused, insomnia, lackofappetite, pain, stress, nausea, dryeyes, drymouth, anxious, none, none, strawberry, sweet, flowery, indica"
strawberry snow cone,happy,euphoric,energetic,uplifted,talkative,stress,depression,pain,headaches,inflammation,none,none,none,none,none,strawberry,diesel,pungent,hybrid,"happy, euphoric, energetic, uplifted, talkative, stress, depression, pain, headaches, inflammation, none, none, none, none, none, strawberry, diesel, pungent, hybrid"
sublime,happy,uplifted,euphoric,energetic,relaxed,stress,lackofappetite,nausea,pain,fatigue,drymouth,dryeyes,anxious,headache,none,spicy/herbal,woody,pine,sativa,"happy, uplifted, euphoric, energetic, relaxed, stress, lackofappetite, nausea, pain, fatigue, drymouth, dryeyes, anxious, headache, none, spicy/herbal, woody, pine, sativa"
sugar black rose,relaxed,happy,euphoric,uplifted,sleepy,stress,pain,depression,headaches,insomnia,drymouth,dryeyes,dizzy,headache,anxious,earthy,flowery,rose,indica,"relaxed, happy, euphoric, uplifted, sleepy, stress, pain, depression, headaches, insomnia, drymouth, dryeyes, dizzy, headache, anxious, earthy, flowery, rose, indica"
sugar cookie,relaxed,sleepy,happy,euphoric,uplifted,lackofappetite,nausea,headaches,pain,stress,dryeyes,drymouth,dizzy,anxious,headache,vanilla,sweet,skunk,hybrid,"relaxed, sleepy, happy, euphoric, uplifted, lackofappetite, nausea, headaches, pain, stress, dryeyes, drymouth, dizzy, anxious, headache, vanilla, sweet, skunk, hybrid"
sugar kush,relaxed,euphoric,talkative,sleepy,happy,stress,depression,nausea,insomnia,eyepressure,dizzy,drymouth,dryeyes,anxious,paranoid,sweet,earthy,woody,indica,"relaxed, euphoric, talkative, sleepy, happy, stress, depression, nausea, insomnia, eyepressure, dizzy, drymouth, dryeyes, anxious, paranoid, sweet, earthy, woody, indica"
sugar mama,relaxed,euphoric,happy,uplifted,tingly,stress,depression,pain,insomnia,headaches,dryeyes,drymouth,anxious,none,none,sweet,grapefruit,pungent,indica,"relaxed, euphoric, happy, uplifted, tingly, stress, depression, pain, insomnia, headaches, dryeyes, drymouth, anxious, none, none, sweet, grapefruit, pungent, indica"
sugar pine,focused,uplifted,energetic,euphoric,relaxed,inflammation,pain,depression,musclespasms,none,none,none,none,none,none,citrus,pine,sweet,hybrid,"focused, uplifted, energetic, euphoric, relaxed, inflammation, pain, depression, musclespasms, none, none, none, none, none, none, citrus, pine, sweet, hybrid"
sugar plum,relaxed,happy,tingly,uplifted,euphoric,stress,depression,insomnia,pain,fatigue,drymouth,dryeyes,anxious,dizzy,headache,berry,earthy,sweet,sativa,"relaxed, happy, tingly, uplifted, euphoric, stress, depression, insomnia, pain, fatigue, drymouth, dryeyes, anxious, dizzy, headache, berry, earthy, sweet, sativa"
sugar plum sunset,relaxed,euphoric,happy,sleepy,tingly,pain,stress,insomnia,depression,inflammation,drymouth,dryeyes,dizzy,none,none,earthy,sweet,flowery,indica,"relaxed, euphoric, happy, sleepy, tingly, pain, stress, insomnia, depression, inflammation, drymouth, dryeyes, dizzy, none, none, earthy, sweet, flowery, indica"
sugar punch,creative,hungry,relaxed,uplifted,happy,stress,depression,pain,fatigue,eyepressure,drymouth,dryeyes,headache,anxious,paranoid,lemon,sweet,berry,hybrid,"creative, hungry, relaxed, uplifted, happy, stress, depression, pain, fatigue, eyepressure, drymouth, dryeyes, headache, anxious, paranoid, lemon, sweet, berry, hybrid"
sugar shack,happy,sleepy,relaxed,uplifted,euphoric,stress,insomnia,pain,inflammation,depression,drymouth,dryeyes,dizzy,paranoid,none,sweet,pine,woody,hybrid,"happy, sleepy, relaxed, uplifted, euphoric, stress, insomnia, pain, inflammation, depression, drymouth, dryeyes, dizzy, paranoid, none, sweet, pine, woody, hybrid"
suicide girl,uplifted,euphoric,talkative,relaxed,tingly,depression,eyepressure,fatigue,musclespasms,nausea,dizzy,dryeyes,drymouth,headache,paranoid,violet,citrus,sweet,hybrid,"uplifted, euphoric, talkative, relaxed, tingly, depression, eyepressure, fatigue, musclespasms, nausea, dizzy, dryeyes, drymouth, headache, paranoid, violet, citrus, sweet, hybrid"
summer breeze,euphoric,uplifted,relaxed,creative,happy,depression,stress,pain,lackofappetite,fatigue,drymouth,none,none,none,none,flowery,citrus,diesel,hybrid,"euphoric, uplifted, relaxed, creative, happy, depression, stress, pain, lackofappetite, fatigue, drymouth, none, none, none, none, flowery, citrus, diesel, hybrid"
summertime squeeze,happy,uplifted,energetic,creative,aroused,fatigue,none,none,none,none,dryeyes,drymouth,paranoid,none,none,earthy,tea,flowery,sativa,"happy, uplifted, energetic, creative, aroused, fatigue, none, none, none, none, dryeyes, drymouth, paranoid, none, none, earthy, tea, flowery, sativa"
sumo grande,focused,creative,energetic,talkative,happy,depression,fatigue,lackofappetite,stress,none,drymouth,none,none,none,none,citrus,pine,sweet,sativa,"focused, creative, energetic, talkative, happy, depression, fatigue, lackofappetite, stress, none, drymouth, none, none, none, none, citrus, pine, sweet, sativa"
sun ra,happy,energetic,euphoric,uplifted,creative,stress,fatigue,insomnia,lackofappetite,none,drymouth,none,none,none,none,tropical,orange,citrus,sativa,"happy, energetic, euphoric, uplifted, creative, stress, fatigue, insomnia, lackofappetite, none, drymouth, none, none, none, none, tropical, orange, citrus, sativa"
sunburn,happy,uplifted,energetic,euphoric,talkative,depression,stress,pain,fatigue,inflammation,anxious,paranoid,drymouth,dryeyes,headache,citrus,lemon,sweet,sativa,"happy, uplifted, energetic, euphoric, talkative, depression, stress, pain, fatigue, inflammation, anxious, paranoid, drymouth, dryeyes, headache, citrus, lemon, sweet, sativa"
sundae driver,happy,relaxed,uplifted,euphoric,creative,pain,depression,stress,headaches,insomnia,drymouth,dryeyes,paranoid,anxious,none,berry,diesel,grape,hybrid,"happy, relaxed, uplifted, euphoric, creative, pain, depression, stress, headaches, insomnia, drymouth, dryeyes, paranoid, anxious, none, berry, diesel, grape, hybrid"
sunny d,relaxed,happy,focused,hungry,uplifted,lackofappetite,depression,stress,headaches,insomnia,dryeyes,drymouth,anxious,dizzy,paranoid,citrus,orange,lemon,hybrid,"relaxed, happy, focused, hungry, uplifted, lackofappetite, depression, stress, headaches, insomnia, dryeyes, drymouth, anxious, dizzy, paranoid, citrus, orange, lemon, hybrid"
sunset,relaxed,sleepy,tingly,happy,euphoric,stress,insomnia,pain,depression,fatigue,drymouth,dryeyes,paranoid,dizzy,headache,spicy/herbal,earthy,pungent,indica,"relaxed, sleepy, tingly, happy, euphoric, stress, insomnia, pain, depression, fatigue, drymouth, dryeyes, paranoid, dizzy, headache, spicy/herbal, earthy, pungent, indica"
sunset haze,uplifted,relaxed,happy,euphoric,creative,pain,stress,depression,inflammation,insomnia,drymouth,dryeyes,none,none,none,citrus,flowery,sweet,hybrid,"uplifted, relaxed, happy, euphoric, creative, pain, stress, depression, inflammation, insomnia, drymouth, dryeyes, none, none, none, citrus, flowery, sweet, hybrid"
sunshine,happy,euphoric,energetic,uplifted,giggly,depression,stress,pain,headaches,lackofappetite,drymouth,dryeyes,dizzy,anxious,headache,sweet,treefruit,citrus,sativa,"happy, euphoric, energetic, uplifted, giggly, depression, stress, pain, headaches, lackofappetite, drymouth, dryeyes, dizzy, anxious, headache, sweet, treefruit, citrus, sativa"
sunshine 4,uplifted,euphoric,relaxed,happy,talkative,inflammation,stress,pain,depression,musclespasms,drymouth,dryeyes,anxious,paranoid,none,citrus,lemon,tropical,hybrid,"uplifted, euphoric, relaxed, happy, talkative, inflammation, stress, pain, depression, musclespasms, drymouth, dryeyes, anxious, paranoid, none, citrus, lemon, tropical, hybrid"
sunshine daydream,relaxed,happy,euphoric,uplifted,tingly,fatigue,pain,eyepressure,insomnia,stress,drymouth,dryeyes,anxious,dizzy,headache,earthy,berry,sweet,indica,"relaxed, happy, euphoric, uplifted, tingly, fatigue, pain, eyepressure, insomnia, stress, drymouth, dryeyes, anxious, dizzy, headache, earthy, berry, sweet, indica"
supa don,creative,energetic,focused,uplifted,happy,fatigue,depression,headaches,insomnia,stress,drymouth,dryeyes,paranoid,none,none,apricot,flowery,spicy/herbal,sativa,"creative, energetic, focused, uplifted, happy, fatigue, depression, headaches, insomnia, stress, drymouth, dryeyes, paranoid, none, none, apricot, flowery, spicy/herbal, sativa"
super  chronic,relaxed,euphoric,sleepy,creative,uplifted,inflammation,pain,insomnia,nausea,stress,drymouth,none,none,none,none,earthy,diesel,sweet,indica,"relaxed, euphoric, sleepy, creative, uplifted, inflammation, pain, insomnia, nausea, stress, drymouth, none, none, none, none, earthy, diesel, sweet, indica"
super blue dream,energetic,happy,euphoric,focused,uplifted,stress,depression,pain,lackofappetite,fatigue,dryeyes,drymouth,dizzy,paranoid,anxious,tea,pineapple,berry,hybrid,"energetic, happy, euphoric, focused, uplifted, stress, depression, pain, lackofappetite, fatigue, dryeyes, drymouth, dizzy, paranoid, anxious, tea, pineapple, berry, hybrid"
super bud,giggly,aroused,tingly,happy,hungry,depression,fatigue,nausea,insomnia,lackofappetite,drymouth,dryeyes,anxious,dizzy,paranoid,citrus,flowery,chemical,indica,"giggly, aroused, tingly, happy, hungry, depression, fatigue, nausea, insomnia, lackofappetite, drymouth, dryeyes, anxious, dizzy, paranoid, citrus, flowery, chemical, indica"
super cat piss,euphoric,happy,uplifted,energetic,giggly,stress,depression,insomnia,nausea,none,drymouth,dryeyes,paranoid,none,none,coffee,lemon,none,sativa,"euphoric, happy, uplifted, energetic, giggly, stress, depression, insomnia, nausea, none, drymouth, dryeyes, paranoid, none, none, coffee, lemon, none, sativa"
super cheese,euphoric,relaxed,hungry,happy,tingly,musclespasms,lackofappetite,eyepressure,pain,insomnia,drymouth,dizzy,anxious,paranoid,none,woody,cheese,earthy,indica,"euphoric, relaxed, hungry, happy, tingly, musclespasms, lackofappetite, eyepressure, pain, insomnia, drymouth, dizzy, anxious, paranoid, none, woody, cheese, earthy, indica"
super g,creative,energetic,happy,tingly,uplifted,none,none,none,none,none,dizzy,dryeyes,drymouth,paranoid,none,earthy,pine,pungent,sativa,"creative, energetic, happy, tingly, uplifted, none, none, none, none, none, dizzy, dryeyes, drymouth, paranoid, none, earthy, pine, pungent, sativa"
super glu,relaxed,sleepy,hungry,uplifted,euphoric,stress,fatigue,lackofappetite,nausea,pain,drymouth,paranoid,dryeyes,none,none,earthy,coffee,diesel,hybrid,"relaxed, sleepy, hungry, uplifted, euphoric, stress, fatigue, lackofappetite, nausea, pain, drymouth, paranoid, dryeyes, none, none, earthy, coffee, diesel, hybrid"
super green crack,happy,uplifted,euphoric,giggly,talkative,depression,fatigue,pain,stress,inflammation,drymouth,headache,anxious,paranoid,dizzy,citrus,earthy,apple,sativa,"happy, uplifted, euphoric, giggly, talkative, depression, fatigue, pain, stress, inflammation, drymouth, headache, anxious, paranoid, dizzy, citrus, earthy, apple, sativa"
super jack,happy,focused,energetic,creative,uplifted,stress,depression,fatigue,pain,lackofappetite,dryeyes,drymouth,anxious,dizzy,paranoid,earthy,sweet,pungent,sativa,"happy, focused, energetic, creative, uplifted, stress, depression, fatigue, pain, lackofappetite, dryeyes, drymouth, anxious, dizzy, paranoid, earthy, sweet, pungent, sativa"
super kush,relaxed,uplifted,focused,happy,euphoric,stress,pain,depression,insomnia,lackofappetite,drymouth,dryeyes,paranoid,dizzy,headache,earthy,mint,pungent,indica,"relaxed, uplifted, focused, happy, euphoric, stress, pain, depression, insomnia, lackofappetite, drymouth, dryeyes, paranoid, dizzy, headache, earthy, mint, pungent, indica"
super lemon haze,happy,energetic,uplifted,euphoric,focused,stress,depression,fatigue,pain,headaches,drymouth,dryeyes,paranoid,dizzy,anxious,lemon,citrus,sweet,sativa,"happy, energetic, uplifted, euphoric, focused, stress, depression, fatigue, pain, headaches, drymouth, dryeyes, paranoid, dizzy, anxious, lemon, citrus, sweet, sativa"
super lemon og,happy,talkative,relaxed,focused,sleepy,pain,musclespasms,depression,inflammation,fatigue,drymouth,dryeyes,dizzy,anxious,headache,lemon,citrus,diesel,hybrid,"happy, talkative, relaxed, focused, sleepy, pain, musclespasms, depression, inflammation, fatigue, drymouth, dryeyes, dizzy, anxious, headache, lemon, citrus, diesel, hybrid"
super silver hash plant,energetic,happy,uplifted,none,none,none,none,none,none,none,none,none,none,none,none,earthy,sweet,none,hybrid,"energetic, happy, uplifted, none, none, none, none, none, none, none, none, none, none, none, none, earthy, sweet, none, hybrid"
super silver haze,happy,uplifted,energetic,euphoric,relaxed,stress,depression,pain,fatigue,lackofappetite,drymouth,dryeyes,anxious,paranoid,dizzy,citrus,earthy,sweet,sativa,"happy, uplifted, energetic, euphoric, relaxed, stress, depression, pain, fatigue, lackofappetite, drymouth, dryeyes, anxious, paranoid, dizzy, citrus, earthy, sweet, sativa"
super silver lights,happy,relaxed,creative,uplifted,giggly,stress,musclespasms,depression,headaches,inflammation,drymouth,none,none,none,none,sweet,pine,flowery,hybrid,"happy, relaxed, creative, uplifted, giggly, stress, musclespasms, depression, headaches, inflammation, drymouth, none, none, none, none, sweet, pine, flowery, hybrid"
super snow dog,relaxed,uplifted,happy,euphoric,focused,depression,stress,headaches,pain,fatigue,drymouth,dryeyes,anxious,dizzy,paranoid,citrus,earthy,lemon,sativa,"relaxed, uplifted, happy, euphoric, focused, depression, stress, headaches, pain, fatigue, drymouth, dryeyes, anxious, dizzy, paranoid, citrus, earthy, lemon, sativa"
super snow lotus,focused,energetic,hungry,relaxed,talkative,headaches,stress,depression,fatigue,lackofappetite,anxious,dryeyes,drymouth,none,none,earthy,chemical,citrus,hybrid,"focused, energetic, hungry, relaxed, talkative, headaches, stress, depression, fatigue, lackofappetite, anxious, dryeyes, drymouth, none, none, earthy, chemical, citrus, hybrid"
super sour diesel,happy,euphoric,relaxed,energetic,uplifted,stress,depression,pain,fatigue,headaches,drymouth,dryeyes,headache,dizzy,paranoid,diesel,citrus,pungent,sativa,"happy, euphoric, relaxed, energetic, uplifted, stress, depression, pain, fatigue, headaches, drymouth, dryeyes, headache, dizzy, paranoid, diesel, citrus, pungent, sativa"
super sour lemon,focused,creative,happy,uplifted,energetic,depression,pain,stress,fatigue,musclespasms,drymouth,none,none,none,none,lemon,earthy,orange,hybrid,"focused, creative, happy, uplifted, energetic, depression, pain, stress, fatigue, musclespasms, drymouth, none, none, none, none, lemon, earthy, orange, hybrid"
